,,,,,
#EJECUCIÓN GASTOS CORRIENTES EJERCICIO 2013,,,,,
,,,,,
,,,,,
,,,,,
#Aplicación Presupuestaria,Denominación,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
     931  35200,Intereses de demora,320000,0,320000,306195.24
,,,,,
     931  34000,Intereses de depósitos,1000,0,1000,0
,,,,,
     931  34100,Intereses de fianzas,1000,0,1000,0
,,,,,
     931  35800,Intereses por operaciones de arrendamiento financi,1000,0,1000,0
,,,,,
     931  22618,Intereses y Comisiones,70000,0,70000,54478.01
,,,,,
     931  62500,Mobiliario,20000,0,20000,0
,,,,,
     931  22000,Ordinario no inventariable,1000,0,1000,2246.86
,,,,,
     931  13100,Retribuciones personal temporal,262000,0,262000,244831.08
,,,,,
     931  22001,"Prensa, revistas, libros y otros",3000,0,3000,2811.59
,,,,,
     931  15000,Productividad,6000,0,6000,8822.86
,,,,,
     931  21500,Repar. mant. y cons. Mobiliario,3000,0,3000,218.97
,,,,,
     931  13000,Retribuciones personal laboral fijo,440000,-108855,331145,369027.51
,,,,,
     931  16000,Seguridad Social,370000,0,370000,403900.04
,,,,,
     931  22708,Servicios de Recaudación,1450000,0,1450000,1168702.21
,,,,,
     931  12000,Sueldos del Grupo A1,98000,0,98000,116100.45
,,,,,
     931  12001,Sueldos del Grupo A2,16000,0,16000,0
,,,,,
     931  12003,Sueldos del Grupo C1,104000,0,104000,50926.73
,,,,,
     931  12004,Sueldos del Grupo C2,25500,0,25500,63401.45
,,,,,
     931  22501,Tributos de las Comunidades Autónomas,1000,0,1000,0
,,,,,
     931  22502,Tributos de las Entidades Locales,1000,0,1000,0
,,,,,
     931  22500,Tributos Estatales,1000,0,1000,4558.96
,,,,,
     931  12006,Trienios,42000,0,42000,34692.22
,,,,,
     334  20200,Arrendamiento de Edificios y otras construcciones,717455,0,717455,0
,,,,,
     334  62207,Cámaras de seguridad Edificios Públicos,0,32835.48,32835.48,7116.52
,,,,,
     334  62611,Equipamiento Nuevas Tecnologías Edificios Públicos,0,0,0,0
,,,,,
     334  21302,Mantenimiento de Ascensores,1700,0,1700,0
,,,,,
     323  22609,Actividades Culturales y Deportivas,10000,0,10000,15840
,,,,,
     323  48001,Becas de Transporte,96000,0,96000,96000
,,,,,
     323  20200,Arrendamientos de Edificios y otras Construcciones,18000,1500,19500,12811.92
,,,,,
     323  48003,Becas de Enseñanza Especial,55000,0,55000,54450
,,,,,
     323  48002,Becas Enseñanza Universitaria,253000,0,253000,248600
,,,,,
     323  21302,Mantenimiento de Ascensores,3200,1000,4200,5183.18
,,,,,
     323  22714,Servicios Varios a Colegios,5000,0,5000,0
,,,,,
     441  47902,Convenio Taxi Accesible 2008,2000,0,2000,0
,,,,,
     441  46101,Convenio Transporte Colectivo,129050,7610,136660,129049.08
,,,,,
     134  62400,Material de Transporte,0,41000,41000,0
,,,,,
     134  26001,Trabajos realizados por Protección Civil,130000,42000,172000,152531.19
,,,,,
     172  62300,"Maquinaria, Instalaciones y Utillaje",0,41139.99,41139.99,0
,,,,,
     162  62304,Autocompactadores,0,85000,85000,0
,,,,,
     162  22709,Servicio Recogida RSU y Lim. Viaria,12080000,0,12080000,12205809.3
,,,,,
     162  22710,Servicio Recogida de Papel Cartón,175000,0,175000,190644.58
,,,,,
     162  22502,Tributos de las Entidades Locales,2100000,0,2100000,1982193.02
,,,,,
     452  60610,Inversiones en la Red de Agua,0,1952409.29,1952409.29,129.93
,,,,,
     161  61100,Acondicionamiento Depósitos Municipales de Agua,0,120000,120000,0
,,,,,
     161  22114,Aguas depuradas para riego,350000,0,350000,0
,,,,,
     161  60811,Infraestructuras Urbanas de Saneamiento,0,71464.5,71464.5,0
,,,,,
     161  60910,Instalaciones en BT Repetidor La Centinela,0,164000,164000,0
,,,,,
     161  60208,Inversiones Red Saneamiento y Pluviales,0,80663.38,80663.38,0
,,,,,
     161  76129,Saneamiento y Urbanización en El Fraile III Fase,0,60280.73,60280.73,0
,,,,,
     161  22711,Servicio Abastecimiento de Agua y Alcantarillado,11650000,0,11650000,11584618.81
,,,,,
     161  22502,Tributos de las Entidades Locales,4400000,194801.2,4594801.2,4548931.18
,,,,,
     132  20400,Arrendamientos de Material de Transporte,148832,0,148832,140861.77
,,,,,
     132  20200,Arrendamientos de Edificios y Otras Construcciones,16000,0,16000,22103.16
,,,,,
     132  12100,Complemento de destino,780000,-83000,697000,537130.16
,,,,,
     132  12101,Complemento especifico,1383000,-34823.27,1348176.73,974187.58
,,,,,
     132  12102,Complemento de Residencia,195000,0,195000,155972.19
,,,,,
     132  23020,Dietas del personal no directivo,1000,0,1000,0
,,,,,
     132  23120,Locomoción del personal no directivo,10000,0,10000,11460.85
,,,,,
     132  21400,Repar. conserv. y man. elementos de transporte,30000,0,30000,22292.21
,,,,,
     132  62603,Emisoras Policía Local,0,269363.26,269363.26,0
,,,,,
     132  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,1885.27
,,,,,
     132  15100,Gratificaciones,150000,0,150000,25356.76
,,,,,
     132  62300,"Maquinaria, Instalaciones y Utillaje",10000,0,10000,5457
,,,,,
     132  62400,Material de Transporte,0,36000,36000,0
,,,,,
     132  62500,Mobiliario,10000,0,10000,0
,,,,,
     132  13100,Retribuciones personal temporal,40000,0,40000,38225.22
,,,,,
     132  22728,Plan de Seguridad Integral Edificios Municipales,112000,0,112000,0
,,,,,
     132  62604,Plan de Seguridad Integral Edificios Municipales,70000,0,70000,0
,,,,,
     132  15000,Productividad,30000,0,30000,12645.26
,,,,,
     132  62202,Reforma del 092,0,43000,43000,42731.58
,,,,,
     132  13000,Retribuciones personal laboral fijo,59000,0,59000,56405.75
,,,,,
     132  16000,Seguridad Social,1220034,0,1220034,1099368.48
,,,,,
     132  22717,Servicio de Grúa Municipal,530000,0,530000,323408.01
,,,,,
     132  12000,Sueldos del Grupo A1,23500,0,23500,19354.72
,,,,,
     132  12001,Sueldos del Grupo A2,67500,0,67500,75237.17
,,,,,
     132  12003,Sueldos del Grupo C1,1330000,0,1330000,1335418.07
,,,,,
     132  12004,Sueldos del Grupo C2,8400,0,8400,9713.24
,,,,,
     132  12006,Trienios,177000,0,177000,138725.56
,,,,,
     324  48005,Ayuda Actividades Permanencia (APAS),23100,0,23100,11549.98
,,,,,
     324  48004,Subvenciones APAS,32400,0,32400,14341.47
,,,,,
     491  20000,Arrendamientos de Terrenos y Bienes Naturales,2400,-2400,0,0
,,,,,
     943  46701,Aportación Consorcio de Incendios,486467,0,486467,486466.48
,,,,,
     494  22692,Actividades Complementarias URBAN,0,1020.8,1020.8,60
,,,,,
     494  65012,Acto. Paisaj. Margen Izq. TF-66 Fraile - Galletas,0,40697.41,40697.41,0
,,,,,
     494  62309,Cartelería Digital Interior URBAN,0,50800,50800,0
,,,,,
     494  62267,Centro Cívico El Fraile,0,127137.21,127137.21,223388.74
,,,,,
     494  62246,Centro Cívico Las Galletas,0,1598403.49,1598403.49,0
,,,,,
     494  23020,Dietas del Personal,0,289.39,289.39,173.25
,,,,,
     494  23120,Locomoción del Personal,0,914.86,914.86,797.07
,,,,,
     494  62508,Equipamiento del Centro Cívico El Fraile,0,350000,350000,325576.56
,,,,,
     494  62600,Equipos para Procesos de Información,0,133300,133300,94377.89
,,,,,
     494  22740,Estudios y Trabajos Seguimiento Proyecto URBAN,0,0,0,19250
,,,,,
     494  16200,Formación y Perfeccionamiento del Personal,1000,0,1000,0
,,,,,
     494  22739,Limpieza a Fondo Zona URBAN,0,83591,83591,44754.24
,,,,,
     494  22002,Material informático no inventariable,0,3100.21,3100.21,0
,,,,,
     494  22000,Ordinario no inventariable,4000,0,4000,0
,,,,,
     494  60815,Parque Garañaña,0,279030.55,279030.55,72000
,,,,,
     494  22001,"Prensa, revistas, libros y otras publicaciones",0,0,0,0
,,,,,
     494  62286,Proyecto Despliegue Fibra Óptica URBAN,0,153842.48,153842.48,0
,,,,,
     494  22628,Proyecto Las Galletas Capital del Buceo,0,76000,76000,0
,,,,,
     494  62401,Proyecto Préstamo de Bicicletas y Carril 30,0,78000,78000,0
,,,,,
     494  22745,Proyecto Préstamo de Bicicletas y Carril 30,0,18000,18000,9600
,,,,,
     494  22602,Publicidad y Propaganda,0,104593.86,104593.86,1684.18
,,,,,
     494  21600,Repar. mant. y cons. Equipos para procesos informa,0,4461.9,4461.9,4461.9
,,,,,
     494  14301,Retribuciones personal afecto a programas,115000,0,115000,113648.01
,,,,,
     494  16000,Seguridad Social,35700,0,35700,36484.46
,,,,,
     494  22744,Zona Comercial Abierta Las Galletas,0,25000,25000,0
,,,,,
     151  62209,Adecuación  Instalaciones CPD Edificios Mples.,0,15000,15000,0
,,,,,
     151  62205,Adecuación N.V. Instalaciones BT Edificios público,0,988000,988000,0
,,,,,
     151  60000,Adquisición de Terrenos,0,6841224.95,6841224.95,0
,,,,,
     151  60001,Adquisición de Terrenos,0,65691.36,65691.36,65691.36
,,,,,
     151  60139,Alumbrado Público en Valle San Lorenzo,0,77540,77540,0
,,,,,
     151  60911,Centro Civico y Plaza la Camella,0,24128.78,24128.78,0
,,,,,
     151  60201,Centro de Transformación Arona Casco,0,673615.09,673615.09,0
,,,,,
     151  65011,Conexión peatonal Montaña Fría- Arona Casco,0,20000,20000,0
,,,,,
     151  60104,Gutinado del Solar Municipal C/Duque de la Torre,0,38000,38000,36896.03
,,,,,
     151  78013,Infraestructuras Urbanas de Saneamiento,0,0,0,29788.27
,,,,,
     151  22118,Mobiliario Urbano No Inventariable,15000,0,15000,0
,,,,,
     151  60806,Parques Infantiles,0,200000,200000,0
,,,,,
     151  60135,Plan de Barrios,0,860516.96,860516.96,72404.15
,,,,,
     151  60121,Plaza del Pescador,0,60000,60000,60000
,,,,,
     151  61104,"Rehab. Barrio Nuevo, C/Noruega y Explanada Los Cri",0,200209.95,200209.95,170801.53
,,,,,
     151  60905,Rehabilitación e Ilum. Ext. Sala Multiusos Los Cri,0,1636.14,1636.14,0
,,,,,
     151  60927,Rehabilitación Integral La Florida,0,1470,1470,0
,,,,,
     151  62211,Suelo Técnico CPDA,0,0,0,0
,,,,,
     151  65008,Urbanización en superficie Barranquera Espadal VSL,0,210000,210000,0
,,,,,
     155  60901,Mejora de la accesibildad Avda. Chayofita,0,17000,17000,15491.76
,,,,,
     155  60138,Mejora de la Seguridad C/ La Colina los Cristianos,0,0,0,0
,,,,,
     155  60123,Plan de Accesibilidad,0,10000,10000,0
,,,,,
     155  21000,"Reparaciones, man. y conserv. infraestructuras y b",1000,0,1000,0
,,,,,
     155  22613,Señalizaciones Municipales,17000,0,17000,20690.09
,,,,,
     155  22713,Servicio de mantenimiento de vías y edificios,1726400,0,1726400,1104418.48
,,,,,
     152  60001,Adquisición de Suelo para Construcción V.P.O.,0,210000,210000,0
,,,,,
     152  78011,Ayudas Rehabilitacion viviendas 1ª Necesidad 2012,100000,122720.98,222720.98,91318.11
,,,,,
