#NOMPARTIDA,CODFUNCION,CODECOPART,Fecha,NIFTERCERO,NOMTERCERO,Descripción,IMPTOTFACTS
Publicidad y Propaganda,920,22602,2013-03-21,B38240933,IMPRENTA REYES S.L.,"2000 Trípticos Formato A4 Abie rto a4/4 Tintas en Estucado Br illo 150Gr, Servicio Lengua Si gnos.",399.35
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2013-03-21,B38565651,HIERROS TIRSO CANARIAS S.L.,Tubos Galvanizados Cuadrados y  Rectangulares para Almacen de  Sección Ingeniería,295.22
Señalizaciones Municipales,155,22613,2013-03-21,B38565651,HIERROS TIRSO CANARIAS S.L.,Material para Señalizaciones C allejeros.,2780.63
Locomoción de Miembros de Órganos de Gobierno,912,23100,2013-03-22,B38075115,VIAJES SOLYSUR S.L.,"Billete Avión TFS-LPA XXX,Comisión Visita  Red Wifi en Darsena Pesquera   de Las Palmas.",81.62
"Prensa, revistas, libros y otros",931,22001,2013-03-22,S2826046A,INSTITUTO DE ESTUDIOS FISCALES,Suscripción Año 2013. Presupue sto y Gasto Público.,81.73
Repar. mant. y cons. Equipos para procesos informa,494,21600,2013-03-22,B60768512,SCHNEIDER ELECTRIC IT SPAIN S.L.,Servicio de Mantenimiento de U PS Zona URBAN.,4461.9
Fiestas del Municipio,338,22611,2013-03-25,G38400719,CLUB NATACION LOS CRISTIANOS ARONA,"Actuación Comparsa Playeritos  en Carnavales el 1,2,7,8,9,10, y 11/03/2013",1400
Fiestas del Municipio,338,22611,2013-03-25,G38974432,AS BALLET BEANKY,"Actuación Ballet Beankey en La  Gala Juvenil e Infantil, Carn aval Arona 2013",900
Fiestas del Municipio,338,22611,2013-03-25,G76556182,GRUPO COREOGRAFICO COPACABANA,"Actuaciones en los Carnavales  de Arona 2013, 1,2,8,9,10,y 11  de Marzo 2013",400
Ordinario no inventariable,130,22000,2013-03-25,B38081790,THE RED PEN S.L.,400 Talonarios de 25 c/u Denun cia Policia Local,821.76
"Prensa, revistas, libros y otras publicaciones",920,22001,2013-03-25,A81962201,ARANZADI EDITORIAL,Revista Española Derecho Admin istrativo. Secretaria.,133.45
Convenio Mejora Espacio Turístico de Tenerife,430,46900,2013-03-26,A38299061,SOCIEDAD PROMOCION EXTERIOR DE TFE. S.A.,"Convenio colaboración mejora d el espacio turistico en Teneri fe, anualidad 2012.",46859
Material informático no inventariable,920,22002,2013-03-26,B35307693,"QWERTY SISTEMAS, S.L.",Soporte HP Software. Informáti ca.,9764.82
Arrendamientos de Edificios y Otras Construcciones,132,20200,2013-03-27,B38404323,"FULGENCIO DIAZ RODRIGUEZ E HIJOS, S.L.","Alquiler 1º Trimestre Local Ar rendado en C/ Duque de la Torr e, Arona.",4441.29
Postales,920,22201,2013-03-27,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia Multa s, el  27/03/2013.",6.46
Postales,920,22201,2013-03-27,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia Multa s, el 27/03/2013.",0.42
Postales,920,22201,2013-03-27,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia Multa s, el 27/03/2013.",63.95
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2013-03-27,B38621850,FERRETERIA HERMALAY S.L.,Material Ferretería para Acond icionamiento del Cuarto de Ext intores.,367.05
Servicio Mantenimiento Jardines Municipales,171,22741,2013-03-27,U76535509,UTE ZONAS VERDES ARONA,Servicio Marzo 2013 Gestión Zo nas Verdes Arona.,358490.56
Material informático no inventariable,920,22002,2013-03-28,A28122125,CANON ESPAÑA S.A.,"Mantenimiento Modelo:IR2016ES  Model, Periodo: 01/3/13-28/02/ 14, Ubicacion: Proyecto Bolsa  Vivienda Joven",248.86
"Reparación, man. y conserv. elementos de transport",150,21400,2013-03-28,F38206454,COOPERATIVA TAXIS DE ARONA,Reparación Vehículo E-3140-CFK,1436.39
Anticipos por cuenta terceros,931,83001,2013-03-31,A38011623,CANARIA DE AVISOS S.A.,"Anuncio Publicado en Diario de  Avisos, el día 25/3/13, pág.1 1""Apertura Licitación 6/12-cas v, Servicio Asistencia Sanitar",359.52
Anticipos por cuenta terceros,931,83001,2013-03-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Publicación en el DIA, 25/03/1 3, pág.12, Anuncio Apertura Li citación Expte.6/12-CNT-CASV.S eguro Asistencia Sanitaria.",288.9
Combustibles y carburantes,150,22103,2013-03-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,"Combustible Marzo 2013, Vehícu los de la Policía Local",674.29
Combustibles y carburantes,150,22103,2013-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Marzo 2013 Vehículo s Mantenimiento.,420.62
Combustibles y carburantes,150,22103,2013-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante y Lavado Automático  Vehículo Alcaldía 5224CSC, 18 52CC, 5325DCC",439.31
Combustibles y carburantes,150,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0025DJC Marzo 2013 .,27.8
Combustibles y carburantes,150,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0025DJC Marzo 2013 .,33.6
Combustibles y carburantes,150,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E5224CSC Marzo 2013 .,36
Combustibles y carburantes,150,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E5224DHJ Marzo 2013 .,36
Combustibles y carburantes,150,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9021BWD Marzo 2013 .,38
Combustibles y carburantes,150,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9297FTP Marzo 2013 .,97.2
Combustibles y carburantes,150,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante TF6942CB Marzo 2013 .,93
Combustibles y carburantes,912,22103,2013-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante y Lavado Automático  Vehículo Alcaldía 5224CSC, 18 52CC, 5325DCC",439.31
Combustibles y carburantes,920,22103,2013-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante y Lavado Automático  Vehículo Alcaldía 5224CSC, 18 52CC, 5325DCC",439.31
Combustibles y carburantes,920,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0305FCH Marzo 2013 .,45.01
Combustibles y carburantes,920,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0545CZD Marzo 2013 .,158.02
Combustibles y carburantes,920,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E2073CFJ Marzo 2013 .,41
Combustibles y carburantes,920,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3463DHH Marzo 2013 .,72.75
Combustibles y carburantes,920,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8049CRY Marzo 2013 .,81
Combustibles y carburantes,920,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8685FGF Marzo 2013 .,85.02
Combustibles y carburantes,920,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante TF1852CC Marzo 2013 .,42
Combustibles y carburantes.,130,22103,2013-03-31,A38047684,ESTACION SURAMERICAS S.A.,Carburante Marzo 2013 Vehículo s Policía Local.,2893.72
Combustibles y carburantes.,130,22103,2013-03-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,"Combustible Marzo 2013, Vehícu los de la Policía Local",674.29
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E1563DWG Marzo 2013 .,15
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E2744CSJ Marzo 2013 .,36
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3640GYF Marzo 2013 .,103
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3643GYF Marzo 2013 .,62
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3649GYF Marzo 2013 .,51
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3652GYF Marzo 2013 .,52
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3652GYF Marzo 2013 .,65.01
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3655GYF Marzo 2013 .,80.01
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E4880CFT Marzo 2013 .,12.09
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E6139BDC Marzo 2013 .,59
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E6937CXN Marzo 2013 .,51
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8629CDV Marzo 2013 .,178.56
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8838BVY Marzo 2013 .,85.01
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9326GYD Marzo 2013 .,56.02
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9326GYD Marzo 2013 .,77
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9327GYF Marzo 2013 .,37.01
Combustibles y carburantes.,130,22103,2013-03-31,B38983318,"PICAMOLINOS, S.L.",Carburante TF0072BT Marzo 2013 .,82
Combustibles y carburantes.,130,22103,2013-03-31,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Carburante Marzo 2013 Policía  local.,1363.82
Fiestas del Municipio,338,22611,2013-03-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,"Material Oficina , Laminas Car ton Pluma Color 70*100 5mm Bla nco",20.36
Fiestas del Municipio,338,22611,2013-03-31,B38534392,TINTORERIA LOS PRINCIPES S.L.,Limpieza Vestuario y Telas de  Decorado y Escenario. Fiestas  San Antonio y Carnavales.,1024.48
Limpieza y Aseo,920,22700,2013-03-31,B35745926,RALONS SERVICIOS S.L.,"Servicio Febrero 13, Limpieza  Centro Educativos y Dependenci as Municipales del Ayto Arona.  Expt.1/2010-CNT-CASV",135171
Limpieza y Aseo,920,22700,2013-03-31,B35745926,RALONS SERVICIOS S.L.,Servicio Limpieza Marzo 2013 I nstalaciones Local en C/ Duque  La Torre.,103.42
Limpieza y Aseo,920,22700,2013-03-31,B35745926,RALONS SERVICIOS S.L.,"Servicio Marzo 2013, Limpieza Centro Educativos y Dependenci as Municipales del Ayto Arona.  Expt.1/2010-CNT-CASV",135171
Mantenimiento Aire Acondicionado,920,21304,2013-03-31,A35414879,TECNOTEL DE CANARIAS S.A,"1 Trimestre 2013, Mantenimient o Aire Acondicionado",1009.78
Mantenimiento de Ascensores,323,21302,2013-03-31,A28011153,"ZARDOYA OTIS, S.A.",Servicio 1º Trimestre 2013 Col egio CEIP Parque de la Reina.,835.83
Mantenimiento Integral del Litoral,173,22730,2013-03-31,U76534924,UTE LITORAL ARONA,"Servicio Marzo 2013 Gestion de l Litoral, Expte. 1/2010-Cnt-c asp",22656.65
Ordinario no inventariable,920,22000,2013-03-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Suministro Material de Oficina,514.28
Ordinario no inventariable,920,22000,2013-03-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,"Suministro Material Oficina, T oner  Laser Oki C3520/3530",45.54
Postales,920,22201,2013-03-31,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,Facturación Marzo 2013 Franque o Pagado Cartas.,52072.24
Postales,920,22201,2013-03-31,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,Facturación Marzo 2013 Franque o Pagado Gestión Catastral.,27.12
Publicidad y Propaganda,920,22602,2013-03-31,A28281368,RADIO POPULAR S.A. CADENA COPE,Patrocinio Programa la Mañana  en Canarias con Mayer Trujillo  desde Los Cristianos el 27/03 /2013.,3210
Publicidad y Propaganda,920,22602,2013-03-31,A38011623,CANARIA DE AVISOS S.A.,"Anuncio Publicado en Diario de  Avisos, el día 17/3/13, pág.1 2""Periodo Voluntario en  Basur a, Vados y ITM 2013""",404.46
Publicidad y Propaganda,920,22602,2013-03-31,A38011623,CANARIA DE AVISOS S.A.,"Edicto  Publicado en Diario de  Avisos, el día 26/3/13, pág.1 3""Exposicion Publica para lice ncia Apertura 78/07-Aperclas..",269.64
Publicidad y Propaganda,920,22602,2013-03-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Publicación en el DIA, 14/03/1 3, pág.14, Anuncio Depósito Mu nicipal de Vehículos en Playa  de las Americas",577.8
Publicidad y Propaganda,920,22602,2013-03-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Publicación en el DIA, 28/03/1 3, pág.13, Anuncio Recaudación Agua 1ºBimestre, Contadores y  Alcantarillado.",192.6
Publicidad y Propaganda,920,22602,2013-03-31,A38022182,RADIO CLUB DE CANARIAS S.A.,"Cuñas en 40 Princ., Dial Tfe S ur, Radio Club TFE,del 26/02-1 1/03- Carnaval 2013",1649.94
Recogida y acogida de animales.,313,22704,2013-03-31,N0044040D,AKTION TIER MENSCHEN FUR TIERE EV,"Acogida, Mantenimiento y Estan cia de Perros Abandonados, del  01/12/2012 al 31/01/2013.",7925.7
"Reparación, man. y conserv. elementos de transport",912,21400,2013-03-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante y Lavado Automático  Vehículo Alcaldía 5224CSC, 18 52CC, 5325DCC",439.31
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2013-03-31,H38351268,APTS. AMARILLA BAY FASE II C.P.,"1 Trimestre Liquidacion Comuni dad, L12/l01,l02,l06,l07 y l08 en Amarilla Bay II",519.75
Seguridad,920,22701,2013-03-31,B35745926,RALONS SERVICIOS S.L.,Servicio Limpieza Marzo 2013 S ala Anexa Centro Cívico Cabo B lanco.,181.26
Servicio de Atención Telefónica,925,22720,2013-03-31,B62916077,KONECTA BTO S.L.,Servicio Marzo 2013 Atención T elefónica 010 y del Apoyo al S ervicio 092 de la Policía Loca l,36732.46
Servicio de Mantenimiento Eléctrico de Edificios,320,22716,2013-03-31,A28010478,IMESAPI S.A.,"Certificación Marzo 2013 Mante nimiento Instalac. Eléctricas,  Locales Sociales, Deportivos  y Turísticos y Colegios.",113362.23
Servicio de Mantenimiento Eléctrico de Edificios,342,22716,2013-03-31,A28010478,IMESAPI S.A.,"Certificación Marzo 2013 Mante nimiento Instalac. Eléctricas,  Locales Sociales, Deportivos  y Turísticos y Colegios.",113362.23
Servicio de Mantenimiento Eléctrico de Edificios,920,22716,2013-03-31,A28010478,IMESAPI S.A.,"Certificación Marzo 2013 Mante nimiento Instalac. Eléctricas,  Locales Sociales, Deportivos  y Turísticos y Colegios.",113362.23
Servicio Mantenimiento Alumbrado Público,165,22712,2013-03-31,A28010478,IMESAPI S.A.,"Certificación Marzo 2013 Mante nimiento Instalac. Eléctricas,  Locales Sociales, Deportivos  y Turísticos y Colegios.",113362.23
Servicio Recogida de Papel Cartón,162,22710,2013-03-31,U38732830,UTE CLUSA-MCCSA,"Servicio Marzo 2013 Recogida,  Transporte de Residuos y Papel  y Cartón Generados en el Muni cipio de Arona",15643.76
Servicio Recogida RSU y Lim. Viaria,162,22709,2013-03-31,U76525534,UTE ARONA,"Servicio Marzo 2013 , Limpieza  Viaria, Expte.1/2010-Cnt-casp",527015.75
Servicio Recogida RSU y Lim. Viaria,162,22709,2013-03-31,U76525534,UTE ARONA,Servicio Marzo 2013 Gestion de Residuos,511264.74
Asistencia Médico-Farmacéutica,221,16008,2013-04-01,A28011864,SEGURCAIXA ADESLAS S.A. DE SEGUROS Y REASEGUROS,Asistencia Sanitaria Abril 201 3. una vez descontado lo reten ido en nómina.,18321.9
Estudios y Trabajos Técnicos,920,22706,2013-04-01,G28783991,"FEMP, FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROV.",Cuota Red Española Ciudades po r el Clima 2013.,300
Festejos y Actos Populares,338,22610,2013-04-01,B76563378,"NEGOCIOS Y NUEVAS TECNOLOGIAS, S.L.",Insercion Publicitaria Promoci ón Carnavales 2013,160.5
Mantenimiento Aire Acondicionado,920,21304,2013-04-01,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.","Se factura  2º Trimestre Mante nimiento Centros Culturales Ca bo Blanco, V.S.Lorenzo y Audit orio Infanta Leonor.",1444.5
Mantenimiento de Ascensores,323,21302,2013-04-01,A28011153,"ZARDOYA OTIS, S.A.",Servicio 2º Trimestre 2013 Col egio Prim. e Infantil La Estre lla.,658.08
Plan de Promoción Económica,433,22614,2013-04-01,B38390589,SOUND BLACK S.L.,"Montaje Sonido ""Arona Máximo D eporte"".",995.1
Productos alimenticios,920,22105,2013-04-01,B35340876,CANARILIME SL,Alquiler Abril 2013 Dispensado ras de Agua.,924.48
Productos alimenticios,920,22105,2013-04-01,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",3 Botellones Agua-Polic?a Loca l,21.39
Productos alimenticios,920,22105,2013-04-01,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",8 Botellones Agua y 1 Caja de Vasos-Sac los Cristianos n?1,67.25
Recogida y acogida de animales.,313,22704,2013-04-01,B76586619,PROTEANIMALOY,"Servicio Marzo 2013, Retirada  de Perros en Vía Públicad del   Ayuntamiento Arona (Acta 1 al  35)",1605
Servicio de mantenimiento de vías y edificios,155,22713,2013-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Certificación Mes Marzo 2013.,194173.79
Servicio de mantenimiento de vías y edificios,320,22713,2013-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Certificación Mes Marzo 2013.,194173.79
Servicio de mantenimiento de vías y edificios,330,22713,2013-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Certificación Mes Marzo 2013.,194173.79
Servicio de mantenimiento de vías y edificios,342,22713,2013-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Certificación Mes Marzo 2013.,194173.79
Servicio de mantenimiento de vías y edificios,920,22713,2013-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Certificación Mes Marzo 2013.,194173.79
Servicio de mantenimiento de vías y edificios,920,22713,2013-04-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Edificios Municipales. Reparac ión de Calderas.,4455.7
Ordinario no inventariable,920,22000,2013-04-02,B38648960,URBAN EXPRESS MENSAJEROS,Suministro Papel Imprenta con Acuse recibo Sicer y de Notifi caciones de Urban Express,2666.44
"Prensa, revistas, libros y otras publicaciones",920,22001,2013-04-03,A58417346,WOLTERS KLUWER ESPAÑA S.A.,Suscripción Contratación Admva . Práctica. Periodo 04-2013 a  03-2014. Secretaria.,295
Recogida y acogida de animales.,313,22704,2013-04-03,N0044040D,AKTION TIER MENSCHEN FUR TIERE EV,"Acogida, Mantenimiento y Estan cia de Perros Abandonados del  01-02-2013 / 31-03-2013.",10303.41
"Prensa, revistas, libros y otras publicaciones",920,22001,2013-04-04,B78272168,CENTRO DE ESTUDIOS FINANCIEROS S.L.,"Suscripción Leyes Socio-labora les, Periodo: 01/04/2013-01/04 /2014- Recurso Humanos",60.58
"Prensa, revistas, libros y otras publicaciones",920,22001,2013-04-04,B78272168,CENTRO DE ESTUDIOS FINANCIEROS S.L.,Suscripción Obra Código Local Periodo: 01/04/2013-01/04/14-R ecursos Humanos,34.62
Energía eléctrica,920,22100,2013-04-05,A81948077,ENDESA ENERGIA S.A.U.,Facturación Marzo 2013 Código  Agrupación 0781818.,3159.48
Fiestas del Municipio,338,22611,2013-04-05,B38432613,GRUAS JUANELE S.L.,Transporte Varias Carrozas par a Carnaval Los Cristianos 2013 .,2781
Mantenimiento Aire Acondicionado,920,21304,2013-04-05,B38621850,FERRETERIA HERMALAY S.L.,Suministro Material Ferreteria  para limpiar Maquinarias de A ires Acondicionados del Ayunta miento Arona,129.04
Mantenimiento Aire Acondicionado,920,21304,2013-04-05,B38621850,FERRETERIA HERMALAY S.L.,Suministro Material Ferreteria  para Trabajos de Aires Acondi cionados de los Ed. Publicos d el Ayuntamiento de Arona,353.85
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2013-04-05,B38621850,FERRETERIA HERMALAY S.L.,Compras de Plásticos para el A rchivo Municipal.,78.8
Seguridad,920,22701,2013-04-05,B76587641,SERVICIOS E INVERSIONES TF S.L.,Servicio Vigilancia Marzo 2013 .,1464.97
Señalizaciones Municipales,155,22613,2013-04-05,B38621850,FERRETERIA HERMALAY S.L.,Compra Material de Ferreteria,220.6
Atenciones protocolarias y representativas,912,22601,2013-04-06,B38075115,VIAJES SOLYSUR S.L.,"Billete Avion MAD-TFN/TFN-MAD, XXX y XXX, Ponentes Conferenci as Video Lengua Signos Sordos",530.3
Locomoción de Miembros de Órganos de Gobierno,912,23100,2013-04-06,B38075115,VIAJES SOLYSUR S.L.,"Billete Avión D.XXX y XXX, TFN-MAD/M AD-GRX/GRX-MAD/MAD-TFS(14/17/4 /13) Colaboración Catastro.",523.08
Locomoción de Miembros de Órganos de Gobierno,912,23100,2013-04-06,B38075115,VIAJES SOLYSUR S.L.,"Billete Avion D.XXX TFS-MAD/MAD-TFN(10-12/0 4/2013,Retos Actuales del Muni cipalismo , Estrat,Recursos.",322.96
Locomoción de Miembros de Órganos de Gobierno,912,23100,2013-04-06,B38075115,VIAJES SOLYSUR S.L.,"Billete Avion D.XXX,TFS-MAD/MAD-TFs(10-14/0 4/2013) Curso Los Retos Actual es del Municipalismo.",224.96
Locomoción de Miembros de Órganos de Gobierno,912,23100,2013-04-06,B38075115,VIAJES SOLYSUR S.L.,"Billete Avion D.XXXTFS-MAD/MAD-TFN(10-12/0 4/2013, Retos Municipalismo.",322.96
Locomoción del personal no directivo,150,23120,2013-04-06,B38075115,VIAJES SOLYSUR S.L.,"Billete Avión D.XXX y XXX, TFN-MAD/M AD-GRX/GRX-MAD/MAD-TFS(14/17/4 /13) Colaboración Catastro.",523.08
Energía eléctrica,150,22100,2013-04-08,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Marzo 2013 ,Código  Agrupación 784141",65447.61
Energía eléctrica,150,22100,2013-04-08,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Marzo 2013-Codigo  Agrupación 343041,477.38
Energía eléctrica,150,22100,2013-04-08,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Marzo 2013-Codigo  Agrupación 343109,455.37
Energía eléctrica,312,22100,2013-04-08,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Marzo 2013 ,Código  Agrupación 784141",65447.61
Energía eléctrica,312,22100,2013-04-08,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Marzo 2013 ,Código  Agrupación 784439",2092.09
Energía eléctrica,312,22100,2013-04-08,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Marzo 2013-Codigo  Agrupación 343020,1702.55
Energía eléctrica,312,22100,2013-04-08,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Marzo 2013-Codigo  Agrupación 343041,472.56
Energía eléctrica,320,22100,2013-04-08,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Marzo 2013 ,Código  Agrupación 783718",8508.58
Energía eléctrica,320,22100,2013-04-08,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Marzo 2013-Codigo  Agrupación 343020,1702.55
Energía eléctrica,340,22100,2013-04-08,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Marzo 2013 ,Código  Agrupación 784141",65447.61
Energía eléctrica,920,22100,2013-04-08,A81948077,ENDESA ENERGIA S.A.U.,"Facturación Marzo 2013 ,Código  Agrupación 784141",65447.61
Energía eléctrica,920,22100,2013-04-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturación Marzo 2013, Código  Agrupacion 342557",19025.13
Energía eléctrica,920,22100,2013-04-08,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Marzo 2013-Codigo  Agrupación 343109,455.37
Estudios y Trabajos Técnicos,920,22706,2013-04-08,A38225926,"CARTOGRAFICA DE CANARIAS, S.A.",Servicio Cartografía GRAFCAN,135.87
Material informático no inventariable,920,22002,2013-04-08,B84238286,ALCYONE CENTRO DE SISTEMAS CAD S.L.,"Suscripcion Anual AutoCAD MAP  2013, Licencias en RED, Nº Con trato 1100000392151, Vigencia  08/04/13-07/04/14",7750
Ordinario no inventariable,920,22000,2013-04-08,B38081790,THE RED PEN S.L.,1500*A4- Cartulina Blanca,64.2
Energía eléctrica,150,22100,2013-04-09,A81948077,ENDESA ENERGIA S.A.U.,Consumo Eléctrico Marzo 2013 C ódigo Agrupación 0785223,11365.71
Energía eléctrica,312,22100,2013-04-09,A81948077,ENDESA ENERGIA S.A.U.,Consumo Eléctrico Marzo 2013 C ódigo Agrupación 0785223,11365.71
Energía eléctrica,320,22100,2013-04-09,B82846825,ENDESA ENERGIA XXI S.L.,Consumo Eléctrico Marzo 2013 C ódigo Agrupación 346718. Coleg io Pérez Valero.,42.73
Energía eléctrica,340,22100,2013-04-09,A81948077,ENDESA ENERGIA S.A.U.,Consumo Eléctrico Marzo 2013 C ódigo Agrupación 0785223,11365.71
Energía eléctrica,340,22100,2013-04-09,A81948077,ENDESA ENERGIA S.A.U.,Consumo Eléctrico Marzo 2013 C ódigo Agrupación 0785238.,12492.53
Energía eléctrica,340,22100,2013-04-09,B82846825,ENDESA ENERGIA XXI S.L.,Consumo Eléctrico Marzo 2013 C ódigo Agrupación 343998.,1006.21
Mantenimiento de Extintores,130,21303,2013-04-09,B82929951,TECHCO SEGURIDAD S.L.,"Revision de 14 Extintores Polv o, 2 Extintores CO2-2KG, 3 Ext intjores CO2-5KG,  Y Soportes.  Policía Local.",340.84
Material informático no inventariable,920,22002,2013-04-09,A28122125,CANON ESPAÑA S.A.,Mantenimiento Modelo IR3300ES  Ubicación SAC. Periodo 01-04-2 013 hasta 31-03-2014.,280.55
Ordinario no inventariable,920,22000,2013-04-09,B38081790,THE RED PEN S.L.,4000 Expediente Amarillos,898.8
Repar. conserv. y man. elementos de transporte,132,21400,2013-04-09,B38233912,SERVICIOS E LEON S.L.,Reparar Cables Rotos de Pirulo  Vehículo Policía Local 4880CF T.,26.75
Repar. conserv. y man. elementos de transporte,132,21400,2013-04-09,B38671921,TALLERES CAYO TENERIFE S.L.,"Sustituir Carenado Lateral Izq  y Pintar Maleta Izq., Moto 15 48-DWG",752.88
Atenciones protocolarias y representativas,912,22601,2013-04-10,A38104022,HOTELES REVERON S.A.,Estancia Pensión de XXX. 09/04/13 - 10/04/13.   Dpto. Protocolo. Lenguaje de  Signos.,69
Atenciones protocolarias y representativas,912,22601,2013-04-10,A38104022,HOTELES REVERON S.A.,Estancia Pensión de XXX. 09/04/13 - 10/0 4/13. Dpto. Protocolo. Jornada s Lenguaje de Signos.,69
Atenciones protocolarias y representativas,912,22601,2013-04-10,B38454781,DRAYCA SUR SERVICIOS S.L.,Cuadro Pint. Servicio de Video . Interpretación de Lenguaje d e Signos.,30
