#Aplicación Presupuestaria ,Denominación,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
453 60819,Rehab. pav. de calzada núcleo Valle S.L.,0,5040.43,5040.43,0
1532 60901,Mejora de la accesibildad Avda. Chayofita,0,1508.24,1508.24,0
1533 60901,Pasarela peatonal adaptada en Los Cristianos,18000,0,18000,0
151 60905,Rehabilitación e Ilum. Ext. Sala Multiusos Los Cri,0,1636.14,1636.14,0
171 60909,Construcción nueva zona verde Playa de las Vistas,50000,0,50000,0
161 60910,Instalaciones en BT Repetidor La Centinela,0,164000,164000,0
151 60911,Centro Civico y Plaza la Camella,0,24128.78,24128.78,0
453 60918,Rehab. Pav. Calzada Núcleo Valle San Lorenzo.,0,16314.49,16314.49,0
341 60921,Mobiliario Urbano Deportivo,50000,0,50000,0
165 60939,Alumbrado C/ Paralela Avda.Chayofita,80000,0,80000,0
1532 60941,Obras Seguridad Zon Pública CC Apolo Los Cristiano,0,56028,56028,0
1532 60942,Obras en Crta. Cruz del Guanche-La Sabinita PK 0+0,0,15827,15827,15805.68
1532 60943,Obras Adecuación Conexión Vía Serv. Avda Chayofita,0,6551,6551,0
1532 60944,"Baranda Protección C/Santa Rita - Abrigaño, Cabo B",0,12900,12900,12013.43
161 61100,Acondicionamiento Depósitos Municipales de Agua,0,120000,120000,0
171 61904,Remodelación Plaza del Pescador,50000,0,50000,0
1723 61905,Plaza de la Trujilla Cabo Blanco,300000,0,300000,0
342 62203,Cubierta Piscina Polivalente de Los Cristianos,0,2003.42,2003.42,0
151 62205,Adecuación N.V. Instalaciones BT Edificios público,0,988000,988000,0
342 62207,Cámaras de seguridad Edificios Públicos,0,6304.26,6304.26,0
931 62207,Cámaras de seguridad Edificios Públicos,0,3000,3000,0
3341 62207,Cámaras de Seguridad Edificios,0,13776.48,13776.48,0
151 62209,Adecuación  Instalaciones CPD Edificios Mples.,0,6349.15,6349.15,0
231 62213,Adecuación N.V. Instalaciones Residencia Mayores C,0,218394.02,218394.02,0
164 62214,Ampliación del Cementerio Municipal,55000,56225.85,111225.85,52193.93
419 62227,Casa del Vino,0,192907.3,192907.3,0
342 62228,Polideportivo Cubierto Valle San Lorenzo,250000,0,250000,0
920 62229,Adqusición Locales para servicios municpales,0,800000,800000,0
4911 62246,Centro Civico Las Galletas,1319852,1687932.5,3007784.5,26060.85
342 62250,Adecuación Reglamentación B.T. Campo Tiro de Arona,0,2412.74,2412.74,0
432 62255,Oficinas de Turismo Plan Q,0,4028.75,4028.75,0
4911 62267,Centro Cívico El Fraile,0,33588.55,33588.55,0
920 62300,"Maquinaria, Instalaciones y Utillaje",5000,0,5000,1284
150 62300,"Maquinaria, Instalaciones y Utillaje",1000,0,1000,0
165 62300,"Maquinaria, Instalaciones y Utillaje",5500,0,5500,0
231 62300,"Maquinaria, instalaciones y utillaje",0,6543.22,6543.22,0
3271 62300,"Maquinaria, Instalaciones y Utillaje",5000,0,5000,0
241 62300,"Maquinaria, Instalaciones y Utillaje",1000,0,1000,0
1721 62300,"Maquinaria, Instalaciones y Utillaje",0,41139.99,41139.99,0
132 62300,"Maquinaria, Instalaciones y Utillaje",10000,0,10000,0
920 62301,Acondicionamiento Ingeniería CPD Municipales.,15000,0,15000,0
164 62302,"Plataformas, Escaleras y Maquinaria",35300,0,35300,0
1622 62304,Autocompactadores,0,85000,85000,0
333 62310,Dotacion equipamiento Espacios Culturales de Medi,19000,0,19000,0
231 62400,Material de Transporte,0,10181.27,10181.27,0
135 62400,Material de Transporte,57000,0,57000,0
132 62400,Material de Transporte,26000,482000,508000,0
4911 62401,Proyecto Préstamo de Bicicletas y Carril  30,185351,263351,448702,0
920 62500,Mobiliario,0,0,0,0
231 62500,Mobiliario,0,31374.02,31374.02,0
929 62500,Mobiliario,5000,0,5000,0
931 62500,Mobiliario,9000,0,9000,0
132 62500,Mobiliario,10000,0,10000,0
414 62507,Equipamiento Mercadillo Municipal del Agricultor,80000,0,80000,0
4412 62509,Marquesinas y paneles informativos,60000,0,60000,2838.06
3322 62510,Estanterías Mecánicas Móviles Archivo,30000,0,30000,0
920 62600,Equipos para Proceso de Información,400000,0,400000,0
4911 62600,Equipos para Procesos de Información,0,39886.39,39886.39,39886.39
132 62603,Emisoras Policía Local,0,130947.54,130947.54,0
132 62604,Plan de Seguridad Integral Edificios Municipales,70000,0,70000,0
4911 62701,Creación Zonas Wi-Fi Zona Urban/Urban Arona 07-15,0,6545.19,6545.19,6545.19
4911 63207,Centro Empresarial Integrado,350418,119258.93,469676.93,8119.36
342 63208,Adecuación Campo de Tiro de Arona,30000,0,30000,0
231 63211,Ampliación Residencia de Mayores Los Cristianos,200000,28000,228000,0
337 63212,Proyecto Reforma y Adecuación Cine Arona,60000,0,60000,0
1522 63213,Adaptación Instalaciones Mpales.Normativa Accesib.,100000,0,100000,0
151 65008,Urbanización en superficie Barranquera Espadal VSL,0,210000,210000,0
1721 65913,Aseos y Duchas en Playas,0,50000,50000,0
1721 65914,Balizamiento Playas,0,122082.6,122082.6,0
432 75100,Plan de Infraestructurasy Calidad Turística,0,891526,891526,0
4910 76103,Convenio Ayto-Cabildo Obras Fibra Óptica Mpal.,300000,444043.08,744043.08,0
432 76124,SPET Plan de Oficinas Turísticas,0,12000,12000,0
161 76129,Saneamiento y Urbanización en El Fraile III Fase,0,60280.73,60280.73,0
336 76200,Acto. Cueva Santo Hermano Pedro,0,62000,62000,0
1522 78011,Ayudas Rehabilitacion viviendas 1ª Necesidad,150000,0,150000,0
931 83001,Anticipos por cuenta terceros,10,3826.32,3836.32,3826.32
931 83101,Anticipo de pagas a personal,10,121200,121210,121200
011 91301,Amortización préstamos largo plazo entidades fin.,906500,10230495,11136995,11136990.04
#,,93873079,34546123.53,128419202.53,39200219.12
